ID,title,trail-segments
5187,"Alta Junction","Alta Junction"
5188,"Arbor Ridge","Arbor Ridge"
5189,"Averill-Kelly Creek Wilderness","Averill-Kelly Creek Wilderness"
5190,Baraboo,Baraboo
5191,"Bear Lake","Bear Lake"
5192,Blackhawk,Blackhawk
5193,"Blue Spring Lake","Blue Spring Lake"
5194,Blueberry,Blueberry
5195,"Bohn Lake","Bohn Lake"
5196,"Brooklyn Wildlife","Brooklyn Wildlife"
5197,"Camp 27","Camp 27"
5198,"Cedar Lakes","Cedar Lakes"
5199,"Chaffee Creek","Chaffee Creek"
5200,"Chippewa Moraine","Chippewa Moraine"
5201,"Chippewa River","Chippewa River"
5202,"City of Lodi","City of Lodi"
5203,"City of Manitowoc","City of Manitowoc"
5204,"City of Two Rivers","City of Two Rivers"
5205,"Clover Valley","Clover Valley"
5206,"Cross Plains","Cross Plains"
5207,Deerfield,Deerfield
5208,Delafield,Delafield
5209,"Dells of the Eau Claire","Dells of the Eau Claire"
5210,"Devil's Lake","Devil's Lake"
5211,"Devil's Staircase","Devil's Staircase"
5212,Dunes,Dunes
5213,Eagle,Eagle
5214,"East Lake","East Lake"
5215,"East Twin River","East Twin River"
5216,"Eastern Lodi Marsh","Eastern Lodi Marsh"
5217,"Emmons Creek","Emmons Creek"
5218,"Firth Lake","Firth Lake"
5219,Forestville,Forestville
5220,"Gandy Dancer","Gandy Dancer"
5221,Gibraltar,Gibraltar
5222,"Grandfather Falls","Grandfather Falls"
5223,"Grassy Lake","Grassy Lake"
5224,Greenbush,Greenbush
5225,Greenwood,Greenwood
5226,Groves-Pertzborn,Groves-Pertzborn
5227,"Harrison Hills","Harrison Hills"
5228,Hartland,Hartland
5229,"Hartman Creek","Hartman Creek"
5230,"Harwood Lakes","Harwood Lakes"
5231,"Hemlock Creek","Hemlock Creek"
5232,"Highland Lakes Eastern","Highland Lakes Eastern"
5233,"Highland Lakes Western","Highland Lakes Western"
5234,"Holy Hill","Holy Hill"
5235,"Indian Creek","Indian Creek"
5236,"Indian Lake","Indian Lake"
5237,Janesville,Janesville
5238,"Janesville to Milton","Janesville to Milton"
5239,"Jerry Lake","Jerry Lake"
5240,"John Muir Park","John Muir Park"
5241,Kettlebowl,Kettlebowl
5242,Kewaskum,Kewaskum
5243,"Kewaunee River","Kewaunee River"
5244,"LaBudde Creek","LaBudde Creek"
5245,"Lake Eleven","Lake Eleven"
5246,"Lapham Peak","Lapham Peak"
5247,"Lodi Marsh","Lodi Marsh"
5248,"Loew Lake","Loew Lake"
5249,Lumbercamp,Lumbercamp
5250,Madison,Madison
5251,"Marquette Trail","Marquette Trail"
5252,"McKenzie Creek","McKenzie Creek"
5253,"Mecan River","Mecan River"
5254,Merrimac,Merrimac
5255,Merton,Merton
5256,Milton,Milton
5257,"Milwaukee River (Fond du Lac Co)","Milwaukee River (Fond du Lac Co)"
5258,"Milwaukee River (Washington Co)","Milwaukee River (Washington Co)"
5259,Mishicot,Mishicot
5260,Monches,Monches
5261,"Mondeaux Esker","Mondeaux Esker"
5262,Monticello,Monticello
5263,Montrose,Montrose
5264,"New Hope-Iola Ski Hill","New Hope-Iola Ski Hill"
5265,Newwood,Newwood
5266,"Northern Blue Hills","Northern Blue Hills"
5267,"Old Railroad","Old Railroad"
5268,Parnell,Parnell
5269,"Parrish Hills","Parrish Hills"
5270,"Pike Lake","Pike Lake"
5271,"Pine Lake","Pine Lake"
5272,"Pine Line","Pine Line"
5273,"Plover River","Plover River"
5274,"Point Beach","Point Beach"
5275,"Portage Canal","Portage Canal"
5276,"Rib Lake","Rib Lake"
5277,Ringle,Ringle
5278,"Sand Creek","Sand Creek"
5279,"Sauk Point","Sauk Point"
5280,Scuppernong,Scuppernong
5281,"Skunk and Foster Lakes","Skunk and Foster Lakes"
5282,Slinger,Slinger
5283,"Southern Blue Hills","Southern Blue Hills"
5284,"Southern Kewaskum","Southern Kewaskum"
5285,"Springfield Hill","Springfield Hill"
5286,"St. Croix Falls","St. Croix Falls"
5287,"Stony Ridge","Stony Ridge"
5288,"Storrs Lake","Storrs Lake"
5289,"Straight Lake","Straight Lake"
5290,"Straight River","Straight River"
5291,"Sturgeon Bay","Sturgeon Bay"
5292,"Table Bluff","Table Bluff"
5293,"Thornapple Creek","Thornapple Creek"
5294,"Timberland Hills","Timberland Hills"
5295,"Timberland Wilderness","Timberland Wilderness"
5296,"Tisch Mills","Tisch Mills"
5297,"Trade River","Trade River"
5298,"Turtle Rock","Turtle Rock"
5299,Tuscobia,Tuscobia
5300,Underdown,Underdown
5301,"Valley View","Valley View"
5302,Verona,Verona
5303,Waterville,Waterville
5304,"Waupaca River","Waupaca River"
5305,"Wedde Creek","Wedde Creek"
5306,"West Bend","West Bend"
5307,"Whitewater Lake","Whitewater Lake"
5308,"Wood Lake","Wood Lake"
